Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=10-9,J=19/2-17/2,F=21/2-19/2' 'N=10-9,J=19/2-17/2,F=19/2-17/2'
 'N=10-9,J=19/2-17/2,F=17/2-15/2' 'N=10-9,J=19/2-17/2,F=17/2-17/2'
 'N=10-9,J=19/2-17/2,F=19/2-19/2']",[721.117167  721.1171744 721.1172156 721.1198784 721.1203738],[-2.91276 -2.91756 -2.91811 -4.8172  -4.86226],[190.38593 190.38607 190.38622 190.3862  190.38608],[-1.9393 -1.9855 -2.0318 -3.9309 -3.9302]
['CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=10-9,J=19/2-19/2,F=21/2-21/2' 'N=10-9,J=19/2-19/2,F=19/2-19/2'
 'N=10-9,J=19/2-19/2,F=17/2-17/2']",[721.6429091 721.649656  721.6556682],[-5.18196 -5.19946 -5.2056 ],[190.38598 190.38616 190.38631],[-4.2088 -4.2677 -4.3196]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=11-10,J=23/2-21/2,F=23/2-23/2' 'N=11-10,J=23/2-21/2,F=21/2-21/2'
 'N=11-10,J=23/2-21/2,F=25/2-23/2' 'N=11-10,J=23/2-21/2,F=23/2-21/2'
 'N=11-10,J=23/2-21/2,F=21/2-19/2']",[793.1036052 793.1038005 793.107068  793.1071029 793.1071056],[-4.91141 -4.87302 -2.78457 -2.78781 -2.78812],[228.42127 228.42113 228.42143 228.42129 228.42115],[-3.994  -3.9934 -1.8324 -1.8704 -1.9085]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=11-10,J=21/2-19/2,F=23/2-21/2' 'N=11-10,J=21/2-19/2,F=21/2-19/2'
 'N=11-10,J=21/2-19/2,F=19/2-17/2' 'N=11-10,J=21/2-19/2,F=19/2-19/2'
 'N=11-10,J=21/2-19/2,F=21/2-21/2']",[793.1634411 793.1634471 793.1634811 793.1661852 793.1666539],[-2.78644 -2.79035 -2.79075 -4.78255 -4.82334],[228.45205 228.45219 228.45234 228.45232 228.4522 ],[-1.8691 -1.9108 -1.9526 -3.9444 -3.9438]
['CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=11-10,J=21/2-21/2,F=23/2-23/2' 'N=11-10,J=21/2-21/2,F=21/2-21/2'
 'N=11-10,J=21/2-21/2,F=19/2-19/2']",[793.7454494 793.7521598 793.758203 ],[-5.14104 -5.15644 -5.16235],[228.45207 228.45225 228.45239],[-4.224  -4.2772 -4.3245]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=12-11,J=25/2-23/2,F=25/2-25/2' 'N=12-11,J=25/2-23/2,F=23/2-23/2'
 'N=12-11,J=25/2-23/2,F=27/2-25/2' 'N=12-11,J=25/2-23/2,F=25/2-23/2'
 'N=12-11,J=25/2-23/2,F=23/2-21/2']",[865.1318856 865.1320483 865.135319  865.1353483 865.1353507],[-4.86847 -4.83321 -2.66975 -2.67247 -2.67271],[269.94148 269.94134 269.94164 269.9415  269.94136],[-4.0116 -4.0111 -1.7807 -1.8156 -1.8506]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=12-11,J=23/2-21/2,F=25/2-23/2' 'N=12-11,J=23/2-21/2,F=23/2-21/2'
 'N=12-11,J=23/2-21/2,F=21/2-19/2' 'N=12-11,J=23/2-21/2,F=21/2-21/2'
 'N=12-11,J=23/2-21/2,F=23/2-23/2']",[865.1918071 865.1918119 865.1918406 865.1945787 865.1950247],[-2.67129 -2.67453 -2.67484 -4.75034 -4.78773],[269.975   269.97515 269.97529 269.97528 269.97516],[-1.8145 -1.8525 -1.8906 -3.9661 -3.9657]
['CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=12-11,J=23/2-23/2,F=25/2-25/2' 'N=12-11,J=23/2-23/2,F=23/2-23/2'
 'N=12-11,J=23/2-23/2,F=21/2-21/2']",[865.8301884 865.8368688 865.842938 ],[-5.1037  -5.11743 -5.12314],[269.97499 269.97517 269.97532],[-4.2472 -4.2957 -4.3392]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=13-12,J=27/2-25/2,F=27/2-27/2' 'N=13-12,J=27/2-25/2,F=25/2-25/2'
 'N=13-12,J=27/2-25/2,F=29/2-27/2' 'N=13-12,J=27/2-25/2,F=27/2-25/2'
 'N=13-12,J=27/2-25/2,F=25/2-23/2']",[937.1406172 937.1407528 937.1440257 937.1440506 937.1440527],[-4.82948 -4.7968  -2.56425 -2.56658 -2.5668 ],[314.91758 314.91745 314.91775 314.9176  314.91746],[-4.0377 -4.0372 -1.7425 -1.7748 -1.8072]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=13-12,J=25/2-23/2,F=27/2-25/2' 'N=13-12,J=25/2-23/2,F=25/2-23/2'
 'N=13-12,J=25/2-23/2,F=23/2-21/2' 'N=13-12,J=25/2-23/2,F=23/2-23/2'
 'N=13-12,J=25/2-23/2,F=25/2-25/2']",[937.2006371 937.2006411 937.2006656 937.2034323 937.2038588],[-2.56551 -2.56832 -2.56846 -4.72046 -4.75482],[314.95384 314.95399 314.95413 314.95412 314.954  ],[-1.7738 -1.8088 -1.8437 -3.9957 -3.9953]
['CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=13-12,J=25/2-25/2,F=27/2-27/2' 'N=13-12,J=25/2-25/2,F=25/2-25/2'
 'N=13-12,J=25/2-25/2,F=23/2-23/2']",[937.8955064 937.9021616 937.9082528],[-5.06941 -5.08172 -5.08726],[314.95381 314.95399 314.95414],[-4.278  -4.3225 -4.3628]
