Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['14(1)-13(1)' '14(0)-13(0)'],[257.5224275 257.5273835],[-2.99489 -2.99263],[99.84706 92.70286],[-2.0255 -2.0129]
['CH3CNv=0'],['Methyl Cyanide'],['15(7)-14(7)'],[275.6558916],[-3.00962],[455.67972],[-2.5553]
['CH3CNv=0'],['Methyl Cyanide'],['15(6)-14(6)'],[275.724702],[-2.97838],[362.95627],[-2.0889]
['CH3CNv=0'],['Methyl Cyanide'],['15(5)-14(5)'],[275.7829735],[-2.95349],[284.46219],[-2.2515]
['CH3CNv=0'],['Methyl Cyanide'],['15(4)-14(4)'],[275.8306827],[-2.93422],[220.21534],[-2.1393]
['CH3CNv=0'],['Methyl Cyanide'],['15(3)-14(3)'],[275.86781],[-2.91975],[170.23052],[-1.7515]
['CH3CNv=0'],['Methyl Cyanide'],['15(2)-14(2)'],[275.8943404],[-2.90968],[134.51896],[-1.9908]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['15(1)-14(1)' '15(0)-14(0)'],[275.910263  275.9155712],[-2.90368 -2.90171],[113.08871 105.94482],[-1.9538 -1.9415]
['CH3CNv=0'],['Methyl Cyanide'],['16(7)-15(7)'],[294.0254955],[-2.91037],[469.79083],[-2.4767]
['CH3CNv=0'],['Methyl Cyanide'],['16(6)-15(6)'],[294.098867],[-2.88352],[377.07076],[-2.0147]
['CH3CNv=0'],['Methyl Cyanide'],['16(5)-15(5)'],[294.1610011],[-2.86213],[298.57975],[-2.1808]
['CH3CNv=0'],['Methyl Cyanide'],['16(4)-15(4)'],[294.2118727],[-2.84526],[234.33549],[-2.071]
['CH3CNv=0'],['Methyl Cyanide'],['16(3)-15(3)'],[294.2514611],[-2.83259],[184.35251],[-1.685]
['CH3CNv=0'],['Methyl Cyanide'],['16(2)-15(2)'],[294.27975],[-2.82381],[148.64219],[-1.9256]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['16(1)-15(1)' '16(0)-15(0)'],[294.296728  294.3023881],[-2.81851 -2.81684],[127.21285 120.06912],[-1.8893 -1.8773]
['CH3CNv=0'],['Methyl Cyanide'],['17(7)-16(7)'],[312.3936562],[-2.81905],[484.78341],[-2.4072]
['CH3CNv=0'],['Methyl Cyanide'],['17(6)-16(6)'],[312.4715838],[-2.79579],[392.06715],[-1.9488]
['CH3CNv=0'],['Methyl Cyanide'],['17(5)-16(5)'],[312.5375762],[-2.77699],[313.57935],[-2.1175]
['CH3CNv=0'],['Methyl Cyanide'],['17(4)-16(4)'],[312.5916068],[-2.76222],[249.33754],[-2.0098]
['CH3CNv=0'],['Methyl Cyanide'],['17(3)-16(3)'],[312.6336534],[-2.75105],[199.35656],[-1.6253]
['CH3CNv=0'],['Methyl Cyanide'],['17(2)-16(2)'],[312.663699],[-2.74327],[163.64775],[-1.8669]
