Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=5/2-3/2,F1=3-2,F=4-3' 'N=2-1,J=5/2-3/2,F1=3-2,F=4-3'
 'N=2-1,J=5/2-3/2,F1=3-2,F=2-1']",[217.46715  217.46715  217.469151],[-3.99703 -4.04949 -4.07435],[15.68419 15.68491 15.68559],[-2.7794 -2.941  -3.112 ]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=5/2-3/2,F1=3-2,F=2-2' 'N=2-1,J=5/2-3/2,F1=3-2,F=3-3']",[217.480559 217.483606],[-4.79753 -4.94175],[15.68556 15.68498],[-3.8352 -3.8333]
['13CN'],['Cyanide Radical'],"['N=2-1,J=5/2-3/2,F1=3-2,F=2-3']",[217.4967768],[-6.328],[15.68562],[-5.3657]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=1-1,F=1-2' 'N=2-1,J=3/2-3/2,F1=1-1,F=0-1']",[217.6133017 217.6146139],[-5.98296 -5.30934],[15.65812 15.65746],[-5.2427 -5.0462]
['13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=1-1,F=1-1' 'N=2-1,J=3/2-3/2,F1=1-1,F=1-0'
 'N=2-1,J=3/2-3/2,F1=1-1,F=2-2']",[217.6276546 217.6334438 217.6405208],[-5.86023 -5.80262 -5.78466],[15.65809 15.65808 15.65942],[-5.12   -5.0624 -4.8226]
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=1-1,F=2-1']",[217.6548737],[-6.24033],[15.65939],[-5.2783]
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-1/2,F1=2-0,F=2-1']",[217.6684744],[-6.68788],[15.67688],[-5.7259]
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=2-1,F=3-2']",[217.9949168],[-5.54037],[15.67643],[-4.4329]
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=2-1,F=2-2']",[218.0040688],[-6.04252],[15.67687],[-5.0812]
['13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=2-1,F=2-1' 'N=2-1,J=3/2-3/2,F1=2-1,F=1-1'
 'N=2-1,J=3/2-3/2,F1=2-1,F=1-0']",[218.0184217 218.0253842 218.0311733],[-5.74979 -5.93003 -5.90122],[15.67684 15.67717 15.67716],[-4.7885 -5.1906 -5.1618]
['13CN'],['Cyanide Radical'],"['N=3-2,J=7/2-5/2,F1=3-3,F=2-2']",[325.0471376],[-5.09349],[31.28531],[-4.3245]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=7/2-5/2,F1=3-3,F=3-2' 'N=3-2,J=7/2-5/2,F1=3-3,F=2-3']",[325.0596181 325.0603154],[-6.1478  -5.98367],[31.28591 31.28537],[-5.2327 -5.2147]
['13CN'],['Cyanide Radical'],"['N=3-2,J=7/2-5/2,F1=3-3,F=3-3']",[325.0727959],[-5.13118],[31.28597],[-4.2161]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=7/2-5/2,F1=3-3,F=3-4' 'N=3-2,J=7/2-5/2,F1=3-3,F=4-3']",[325.0893665 325.0903294],[-6.13126 -6.2625 ],[31.2859  31.28681],[-5.2162 -5.2383]
['13CN'],['Cyanide Radical'],"['N=3-2,J=7/2-5/2,F1=3-3,F=4-4']",[325.1069],[-5.09888],[31.28674],[-4.0747]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=7/2-3/2,F1=3-2,F=2-1' 'N=3-2,J=7/2-3/2,F1=3-2,F=2-2']",[325.2217632 325.2287256],[-6.13516 -6.58155],[31.28535 31.28525],[-5.3664 -5.8128]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=7/2-3/2,F1=3-2,F=3-2' 'N=3-2,J=7/2-3/2,F1=3-2,F=3-3']",[325.2412061 325.2503581],[-6.02006 -6.53195],[31.28585 31.28586],[-5.1052 -5.6171]
['13CN'],['Cyanide Radical'],"['N=3-2,J=7/2-3/2,F1=3-2,F=4-3']",[325.2678916],[-5.81367],[31.2867],[-4.7897]
['13CN'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F1=2-3,F=1-2']",[325.3597669],[-5.77341],[31.30032],[-5.2267]
['13CN'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F1=2-3,F=2-3']",[325.387772],[-5.82752],[31.30109],[-5.059]
['13CN'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F1=2-3,F=3-4']",[325.4276946],[-5.8287],[31.30214],[-4.9141]
['13CN' '13CN' '13CN' '13CN' '13CN'],"['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical']","['N=3-2,J=5/2-3/2,F1=2-2,F=1-1' 'N=3-2,J=5/2-3/2,F1=2-2,F=1-2'
 'N=3-2,J=5/2-3/2,F1=2-2,F=2-1' 'N=3-2,J=5/2-3/2,F1=2-2,F=2-2'
 'N=3-2,J=5/2-3/2,F1=2-2,F=2-3']",[325.5343925 325.541355  325.5492198 325.5561822 325.5653342],[-4.47368 -4.94327 -5.13161 -4.4998  -5.12619],[31.30035 31.30026 31.30106 31.30097 31.30097],[-3.9272 -4.3968 -4.3633 -3.7315 -4.3579]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=5/2-3/2,F1=2-2,F=3-2' 'N=3-2,J=5/2-3/2,F1=2-2,F=3-3']",[325.5795343 325.5886862],[-5.2156  -4.36079],[31.30209 31.30209],[-4.3012 -3.4464]
['13CN'],['Cyanide Radical'],"['N=3-2,J=5/2-3/2,F1=2-1,F=1-2']",[325.9049029],[-5.0621],[31.30029],[-4.5161]
"['13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN'
 '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN']","['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical']","['N=3-2,J=5/2-3/2,F1=2-1,F=2-2' 'N=3-2,J=7/2-5/2,F1=3-2,F=2-3'
 'N=3-2,J=5/2-3/2,F1=2-1,F=1-1' 'N=3-2,J=5/2-5/2,F1=3-3,F=3-2'
 'N=3-2,J=5/2-5/2,F1=3-3,F=4-3' 'N=3-2,J=7/2-5/2,F1=3-2,F=3-3'
 'N=3-2,J=5/2-3/2,F1=2-1,F=3-2' 'N=3-2,J=5/2-3/2,F1=2-1,F=1-0'
 'N=3-2,J=7/2-5/2,F1=3-2,F=2-2' 'N=3-2,J=5/2-3/2,F1=2-1,F=2-1'
 'N=3-2,J=5/2-5/2,F1=3-3,F=2-2' 'N=3-2,J=5/2-5/2,F1=3-3,F=3-3'
 'N=3-2,J=7/2-5/2,F1=3-2,F=2-1' 'N=3-2,J=5/2-5/2,F1=3-3,F=4-4'
 'N=3-2,J=7/2-5/2,F1=3-2,F=3-2' 'N=3-2,J=7/2-5/2,F1=3-2,F=4-3'
 'N=3-2,J=5/2-5/2,F1=3-3,F=2-3' 'N=3-2,J=5/2-5/2,F1=3-3,F=3-4']","[325.9197302 325.9296211 325.9321221 325.9405357 325.9413337 325.9421016
 325.9430822 325.9451628 325.9459744 325.9469493 325.9507742 325.9537134
 325.9563296 325.9579043 325.958455  325.9596351 325.963952  325.970284 ]","[-4.11213 -5.79654 -3.89377 -5.62769 -5.73694 -4.40195 -3.51683 -3.77085
 -4.25732 -3.64129 -4.54585 -4.57437 -3.52851 -4.53021 -3.50393 -3.45207
 -5.45953 -5.60665]","[31.301   31.28537 31.3003  31.32819 31.32765 31.28596 31.30213 31.30036
 31.28529 31.30102 31.32868 31.32825 31.28535 31.32758 31.28589 31.28681
 31.32874 31.32818]","[-3.3443 -5.0287 -3.3478 -4.7138 -4.7139 -3.488  -2.6029 -3.2249 -3.4895
 -2.8735 -3.7781 -3.6605 -2.7607 -3.5072 -2.59   -2.429  -4.6918 -4.6928]"
['13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN'],"['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical']","['N=3-2,J=5/2-3/2,F1=3-2,F=4-3' 'N=3-2,J=5/2-3/2,F1=3-2,F=3-2'
 'N=3-2,J=5/2-3/2,F1=3-2,F=2-1' 'N=3-2,J=5/2-3/2,F1=3-2,F=3-3'
 'N=3-2,J=5/2-3/2,F1=3-2,F=2-2' 'N=3-2,J=5/2-3/2,F1=3-2,F=2-3'
 'N=3-2,J=7/2-5/2,F1=4-3,F=5-4' 'N=3-2,J=7/2-5/2,F1=4-3,F=4-3'
 'N=3-2,J=7/2-5/2,F1=4-3,F=3-2']","[326.1188959 326.1221237 326.1253998 326.1312757 326.1323623 326.1415142
 326.1417393 326.1418283 326.1427987]","[-3.48401 -3.53266 -3.55732 -4.45564 -4.30311 -5.865   -3.43911 -3.46746
 -3.47652]","[31.32754 31.32813 31.32872 31.32813 31.32862 31.32863 31.33641 31.33727
 31.3379 ]",[-2.4612 -2.619  -2.7898 -3.542  -3.5356 -5.0975 -2.3292 -2.4447 -2.5629]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=7/2-5/2,F1=4-3,F=3-3' 'N=3-2,J=7/2-5/2,F1=4-3,F=4-4']",[326.1559765 326.1583989],[-4.5287  -4.63734],[31.33795 31.33721],[-3.6151 -3.6146]
['13CN'],['Cyanide Radical'],"['N=3-2,J=7/2-5/2,F1=4-3,F=3-4']",[326.1725471],[-6.32028],[31.33789],[-5.4067]
['13CN' '13CN' '13CN' '13CN' '13CN' '13CN'],"['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical']","['N=3-2,J=5/2-5/2,F1=2-2,F=2-3' 'N=3-2,J=5/2-5/2,F1=2-2,F=1-2'
 'N=3-2,J=5/2-5/2,F1=2-2,F=1-1' 'N=3-2,J=5/2-5/2,F1=2-2,F=2-2'
 'N=3-2,J=5/2-5/2,F1=2-2,F=3-3' 'N=3-2,J=5/2-5/2,F1=2-2,F=2-1']",[326.2570777 326.2586038 326.268959  326.273431  326.2804297 326.2837862],[-5.90709 -5.61604 -5.09403 -5.17757 -5.17009 -5.86226],[31.30108 31.30029 31.30036 31.301   31.3022  31.30107],[-5.1397 -5.0705 -4.5485 -4.4102 -4.2566 -5.0949]
['13CN'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F1=2-2,F=3-2']",[326.2967831],[-6.08177],[31.30212],[-5.1683]
['13CN'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F1=3-2,F=4-3']",[326.8106394],[-5.36471],[31.32765],[-4.3428]
['13CN'],['Cyanide Radical'],"['N=3-2,J=5/2-5/2,F1=3-2,F=3-3']",[326.8230192],[-6.21545],[31.32824],[-5.3027]
['13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=3-2,J=5/2-5/2,F1=3-2,F=3-2' 'N=3-2,J=5/2-5/2,F1=3-2,F=2-2'
 'N=3-2,J=5/2-5/2,F1=3-2,F=2-1']",[326.8393725 326.8496111 326.8599662],[-5.48673 -6.16149 -5.54907],[31.32816 31.32865 31.32872],[-4.574  -5.3949 -4.7825]
['13CN' '13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=4-3,J=9/2-7/2,F1=4-4,F=3-3' 'N=4-3,J=9/2-7/2,F1=4-4,F=4-3'
 'N=4-3,J=9/2-7/2,F1=4-4,F=3-4' 'N=4-3,J=9/2-7/2,F1=4-4,F=4-4']",[433.5136415 433.5273315 433.5277898 433.5414797],[-4.84967 -6.1346  -6.01726 -4.87389],[52.14322 52.14388 52.14318 52.14384],[-4.086  -5.2618 -5.2536 -4.0011]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=4-3,J=9/2-7/2,F1=4-4,F=4-5' 'N=4-3,J=9/2-7/2,F1=4-4,F=5-4']",[433.5581393 433.5595487],[-6.12827 -6.22362],[52.14377 52.1447 ],[-5.2555 -5.2637]
['13CN'],['Cyanide Radical'],"['N=4-3,J=9/2-7/2,F1=4-4,F=5-5']",[433.5762083],[-4.8554],[52.14464],[-3.8955]
['13CN' '13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=4-3,J=9/2-5/2,F1=4-3,F=3-2' 'N=4-3,J=9/2-5/2,F1=4-3,F=3-3'
 'N=4-3,J=9/2-5/2,F1=4-3,F=4-3' 'N=4-3,J=9/2-5/2,F1=4-3,F=4-4']",[433.705666  433.7159046 433.7295946 433.7419743],[-5.96928 -6.76137 -5.883   -6.71879],[52.14323 52.14314 52.1438  52.14382],[-5.2058 -5.9979 -5.0104 -5.8462]
['13CN'],['Cyanide Radical'],"['N=4-3,J=9/2-5/2,F1=4-3,F=5-4']",[433.7600432],[-5.74062],[52.14468],[-4.7809]
['13CN'],['Cyanide Radical'],"['N=4-3,J=7/2-7/2,F1=3-4,F=2-3']",[433.8168125],[-5.93313],[52.15777],[-5.3159]
['13CN'],['Cyanide Radical'],"['N=4-3,J=7/2-7/2,F1=3-4,F=3-4']",[433.8464076],[-5.96393],[52.15847],[-5.2006]
['13CN'],['Cyanide Radical'],"['N=4-3,J=7/2-7/2,F1=3-4,F=4-5']",[433.8847509],[-5.96773],[52.15945],[-5.0953]
['13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN'],"['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical']","['N=4-3,J=7/2-5/2,F1=3-3,F=2-2' 'N=4-3,J=7/2-5/2,F1=3-3,F=2-3'
 'N=4-3,J=7/2-5/2,F1=3-3,F=3-2' 'N=4-3,J=7/2-5/2,F1=3-3,F=3-3'
 'N=4-3,J=7/2-5/2,F1=3-3,F=3-4' 'N=4-3,J=7/2-5/2,F1=3-3,F=4-3'
 'N=4-3,J=7/2-5/2,F1=3-3,F=4-4']","[434.008837  434.0190755 434.0242838 434.0345224 434.0469021 434.0562061
 434.0685858]",[-4.31954 -5.21773 -5.33715 -4.33634 -5.34483 -5.41347 -4.27175],[52.15778 52.15769 52.15852 52.15843 52.15845 52.15947 52.15949],[-3.7025 -4.6007 -4.574  -3.5732 -4.5817 -4.5412 -3.3995]
['13CN'],['Cyanide Radical'],"['N=4-3,J=7/2-5/2,F1=3-2,F=2-3']",[434.561665],[-5.43571],[52.15769],[-4.8192]
